"时间","类型","技能","来源 → 目标",""
"-00:00.223","施法","极炎法 +5% damage","脆薯 → 万魔殿",""
"00:00.490","施法","仙光的低语","脆薯 → 脆薯",""
"00:01.249","施法","蛊毒法 +5% damage","脆薯 → 万魔殿",""
"00:02.945","施法","转化","脆薯 → 脆薯",""
"00:04.684","施法","极炎法 1.46 秒+11% damage","脆薯 → 万魔殿",""
"00:07.093","施法","极炎法 1.46 秒+11% damage","脆薯 → 万魔殿",""
"00:07.760","施法","连环计","脆薯 → 万魔殿",""
"00:09.498","施法","极炎法 1.46 秒+11% damage","脆薯 → 万魔殿",""
"00:10.254","施法","野战治疗阵","脆薯",""
"00:11.947","施法","极炎法 1.46 秒+11% damage","脆薯 → 万魔殿",""
"00:12.572","施法","能量吸收 +11% damage","脆薯 → 万魔殿",""
"00:14.355","施法","极炎法 1.46 秒+11% damage","脆薯 → 万魔殿",""
"00:15.021","施法","能量吸收 +11% damage","脆薯 → 万魔殿",""
"00:16.802","施法","极炎法 1.46 秒+11% damage","脆薯 → 万魔殿",""
"00:17.515","施法","以太超流","脆薯 → 脆薯",""
"00:19.211","施法","极炎法 1.46 秒+11% damage","脆薯 → 万魔殿",""
"00:19.836","施法","能量吸收 +11% damage","脆薯 → 万魔殿",""
"00:21.663","施法","极炎法 1.46 秒+11% damage","脆薯 → 万魔殿",""
"00:22.286","施法","醒梦","脆薯 → 脆薯",""
"00:24.071","施法","极炎法 1.46 秒+8% damage","脆薯 → 万魔殿",""
"00:26.479","施法","极炎法 1.46 秒+8% damage","脆薯 → 万魔殿",""
"00:28.930","施法","极炎法 1.46 秒+3% damage","脆薯 → 万魔殿",""
"00:30.403","施法","蛊毒法 +3% damage","脆薯 → 万魔殿",""
"00:33.790","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"00:36.198","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"00:38.607","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"00:41.057","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"00:41.906","施法","野战治疗阵","脆薯",""
"00:42.663","施法","毁坏","脆薯 → 万魔殿",""
"00:45.072","施法","毁坏","脆薯 → 万魔殿",""
"00:47.481","施法","毁坏","脆薯 → 万魔殿",""
"00:48.864","施法","异想的祥光","脆薯 → 脆薯",""
"00:49.933","施法","毁坏","脆薯 → 万魔殿",""
"00:51.138","施法","不屈不挠之策","脆薯",""
"00:52.519","施法","毁坏","脆薯 → 万魔殿",""
"00:55.011","施法","毁坏","脆薯 → 万魔殿",""
"00:58.829","施法","士气高扬之策 1.94 秒","脆薯",""
"00:59.806","施法","蛊毒法","脆薯 → 万魔殿",""
"01:00.784","施法","仙光的低语","脆薯 → 脆薯",""
"01:03.142","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"01:05.588","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"01:08.030","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"01:10.430","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"01:12.875","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
